Threshold,Precision,Recall,F1 Score,False Positives,False Negatives
0.05,0.9190711838599163,0.9406997584352841,0.9297597042513863,1063,761
0.1,0.9221773861483983,0.8725940933530741,0.8967008327994875,945,1635
0.15,0.9533333333333334,0.8134496999922076,0.8778539292772148,511,2394
0.2,0.9642822759218254,0.7804878048780488,0.8627045650301465,371,2817
0.25,0.9652306132792702,0.7419932985272345,0.8390166534496432,343,3311
0.3,0.9669334456613311,0.7154991038728279,0.8224282323435891,314,3651
0.35,0.9675874359545555,0.6769266734200888,0.7965705378020265,291,4146
0.4,0.9685971100238935,0.6633678796851866,0.7874387198224031,276,4320
0.45,0.9684431977559608,0.6456791085482739,0.7747907803076348,270,4547
0.5,0.968380861472378,0.6324320112210706,0.765155086263788,265,4717
0.55,0.9676817899316346,0.6066391334839866,0.7457610882268416,260,5048
0.6,0.9675016056518947,0.5869243356970311,0.7306237268406247,253,5301
0.65,0.9673668912670101,0.5705602742928387,0.7177727673757475,247,5511
0.7,0.9670285484519502,0.5622223953868931,0.7110476002759436,246,5618
0.75,0.9681545998911268,0.5543520610924959,0.7050195728655666,234,5719
0.8,0.9676706272450953,0.5457804098807761,0.6979223755667381,234,5829
0.85,0.9672857142857143,0.5276240941323151,0.6828013916200272,229,6062
0.9,0.9710592037608344,0.5150783137224344,0.6731160896130346,197,6223
0.95,0.9740729574917094,0.503545546637575,0.6638927415626444,172,6371
